[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
Foundation                |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Fourth                    |   6 files | e.g., book_03_the_reckoning_015_betrayal.md
Gate                      |   6 files | e.g., book_06_the_ragnarok_031_the_crash_site.md
Guard                     |   6 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Hours                     |   6 files | e.g., book_04_sage_saga_023_beyond_identity.md
Kavurn                    |   6 files | e.g., book_15_legends_and_gods_081_mr_gpt_arrival.md
Like                      |   6 files | e.g., book_04_sage_saga_020_the_collapse.md
Luminara                  |   6 files | e.g., book_06_the_ragnarok_036_highland_giants.md
Lunar                     |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Manifestation             |   6 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Mind                      |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Mountains                 |   6 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
NOT                       |   6 files | e.g., book_06_the_ragnarok_030_ummade_army.md
Nebula                    |   6 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
OPENING                   |   6 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
Ones                      |   6 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
Outside                   |   6 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
PROTOCOL                  |   6 files | e.g., book_07_light_resonance_and_the_function_039_jungle_fever.md
Perhaps                   |   6 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Pool                      |   6 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
Post                      |   6 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Progress                  |   6 files | e.g., book_09_bureaucratic_debt_051_arrival_in_fire.md
Protocol                  |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Ren                       |   6 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Resistance                |   6 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Response                  |   6 files | e.g., book_11_blood_and_legacy_063_the_iron_hand.md
Shattering                |   6 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Show                      |   6 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Some                      |   6 files | e.g., book_01_book_of_genesis_004_the_convergence.md
